Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description
1,Frederick Sanger is a twice recipient of the Nobel Prize for,Chemistry in 1958 and 1980,Physics in 1956 and 1972,Chemistry in 1954 and Peace in 1962,Physics in 1903 and Chemistry in 1911,A," Frederick Sanger

Born Aug. 13, 1918, Rendcombe, Gloucestershire, England.

English biochemist who was twice the recipient of the Nobel Prize for Chemistry. He was awarded the prize in 1958 for his determination of the structure of the insulin molecule. He shared the prize (with Paul Berg and Walter Gilbert) in 1980 for his determination of base sequences in nucleic acids. Sanger was only the fourth two-time recipient of the Nobel Prize. "
1,The ozone layer restricts,Visible light,Infrared radiation,X-rays and gamma rays,Ultraviolet radiation,D,-
1,Eugenics is the study of,altering human beings by changing their genetic components,people of European origin,different races of mankind,genetic of plants,A,-
3,Euclid was,Greek mathematician,Contributor to the use of deductive principles of logic as the basis of geometry,Propounded the geometrical theorems,All of the above,D,-
2,Ecology deals with,Birds,Cell formation,Relation between organisms and their environment,Tissues,C,-
1,Filaria is caused by,Bacteria,Mosquito,Protozoa,Virus,B,-
1,Goa Shipyard Limited (GSL) was established in,1958,1957,1956,1955,B,-
2,DRDL stands for,Defence Research and Development Laboratary,Department of Research and Development Laboratory,Differential Research and Documentation Laboratary,None of the above,A,-
2,Who was the first Indian Chief of Army Staff of the Indian Army ?,Gen. K.M. Cariappa,Vice-Admiral R.D. Katari,Gen. Maharaja Rajendra Singhji,None of the above,A," Field Marshal Kodandera ""Kipper"" Madappa Cariappa OBE (Kodava Kannad) (28 January 1899 - 15 May 1993) was the first Indian Chief of Army Staff of the Indian Army and led the Indian forces on the Western Front during the Indo-Pakistan War of 1947.
For more info : http://en.wikipedia.org/wiki/Chief_of_Army_Staff_of_the_Indian_Army "
3,FRS stands for,Fellow Research System,Federation of Regulation Society,Fellow of Royal Society,None of the above,C,-
3,Escape velocity of a rocket fired from the earth towards the moon is a velocity to get rid of the,Earth's gravitational pull,Moon's gravitational pull,Centripetal force due to the earth's rotation,Pressure of the atmosphere,A,-
1,GATT (General Agreement on Tariffs and Trade) is,international agreement signed in 1947 between non-communist nations with the object of encouraging international trade unobstructed by tariff barriers,agreement which seeks to achieve its aim by arranging and encouraging bargaining with trade concessions between members,Both option A and B,None of the above,C,-
1,Coral reefs in India can be found in,the coast of Orissa,Waltair,Rameshwaram,Trivandrum,C,-
3,"For safety, the fuse wire used in the mains for household supply of electricity must be made of metal having",low melting point,high resistance,high melting point,low specific heat,A,-
2,"Golden Temple, Amritsar is India's",largest Gurdwara,oldest Gurudwara,Both option A and B are correct,None of the above,A,-
2,During World War I Germany was defeated in the Battle of Verdun on the western front and Romania declared war on the eastern front in the year,1914 AD,1915 AD,1916 AD,1917 AD,C,-
2,Heavy Water Project (Talcher) and Fertilizer plant (Paradeep) are famous industries of,Orissa,Tamil nadu,Andhra Pradesh,Kerala,A,-
3,Hamid Karzai was chosen president of Afghanistan in,2000,2001,2002,2003,C," Hamid Karzai

As Acting President - From 22 December 2001 to 19 June 2002

As President - From 19 June 2002 to 7 December 2004. "
1,Durand Cup is associated with the game of,Cricket,Football,Hockey,Volleyball,B,-
3,Headquarters of UNO are situated at,"New York, USA",Hague (Netherlands),Geneva,Paris,A," The headquarters of the United Nations is a distinctive complex in New York City (USA).  The United Nations has three additional, subsidiary, regional headquarters or headquarter districts. These are located in Geneva (Switzerland), Vienna (Austria), and Nairobi (Kenya). "
3,First International Peace Congress was held in London in,1564 AD,1798 AD,1843 AD,1901 AD,C,-
2,"For seeing objects at the surface of water from a submarine under water, the instrument used is",kaleidoscope,periscope,spectroscope,telescope,B,-
3,Dr. Zakir Hussain was,the first Muslim president of India,first vice president of India,first president of Indian National Congress,first speaker of Lok Sabha,A,-
2,G-15 is an economic grouping of,First World Nations,Second World Nations,Third World Nations,Fourth World Nations,C,-
1,Fathometer is used to measure,Earthquakes,Rainfall,Ocean depth,Sound intensity,C,-
3,For galvanizing iron which of the following metals is used?,Aluminium,Copper,Lead,Zinc,D,-
1,Economic goods are,all commodities that are limited in quantity as compared to their demand,Commodities that is available according to their demand,Commodities that is available more as compared to demand,None of the above,A,-
3,For purifying drinking water alum is used,for coagulation of mud particles,to kill bacteria,to remove salts,to remove gases,A,-
1,Hockey was introduced in the Asian Games in,1958 in Tokyo,1962 in Jakarta,1966 in Bangkok,1970 in Bangkok,A,-
1,ESCAP stands for,Economic and Social Commission for Asia and Pacific,European Society Council for Africa and Pacific,Economic and Social Commission for Africa and Pacific,None of the above,A,-
3,Firdausi was,a poet,well known for his epic 'Shahnama',Both option A and B,None of the above,C,-
3,Himalayan Mountaineering Institute is at,Darjeeling,Dehradun,Marmago,Dispur,A,-
2,Gabriel Daniel Fahrenheit was,a German Physicist,developed the mercury thermometer in 1714,devised temperature scale,All of the above,D,-
1,"During the first crusade, crusaders reached Jerusalem and captured it in",1000 AD,1099 AD,1200 AD,1515 AD,B,-
2,Dr. Linus Carl Pauling is the only person to have won two Nobel prizes individually for,"Chemistry in 1954, Peace Prize in 1962","Peace Prize in 1954, Chemistry in 1962","Physics in 1954, Medicine in 1962","Medicine in 1954, Physics in 1962",A,-
1,Free market is,a condition in the international market where nations do not impose customs duty or other taxes on import of goods,market where the price of a commodity is determined by free play of the forces of supply and demand,"ports that are exempted from payment of customs duty on articles of commerce, primarily to encourage tourism",None of the above,B,-
2,"East Timor, which became the 191st member of the UN, is in the continent of",Asia,Africa,Europe,South America,A,-
2,Free surface of a liquid behaves like a sheet and tends to contract to the smallest possible area due to the,force of adhesion,force of friction,centrifugal force,force of cohesion,D,-
1,Gopal Krishna Gokhale,"started as a maths teacher and rose to the position of the principal of Ferguson College, Pune",founded the servants of India Society,served as President of the Indian National Congress in 1905,All of the above,D,-
1,GNLF stands for,Gorkha National Liberation Front,Gross National Liberation Form,Both option A and B,None of the above,A,-
2,Excessive secretion from the pituitary gland in the children results in,increased height,retarded growth,weakening of bones,None of the above,A,-
2,Fa-Hien was,the first Buddhist pilgrim of China to visit India during the reign of Chandragupta Vikramaditya,the discoverer of Puerto Rico and Jamaica,the first Buddhist pilgrim of India to visit China,None of the above,A,-
1,FFC stands for,Foreign Finance Corporation,Film Finance Corporation,Federation of Football Council,None of the above,B,-
1,Fastest shorthand writer was,Dr. G.  D. Bist,J.R.D. Tata,J.M. Tagore,Khudada Khan,A,-
2,Epsom (England) is the place associated with,Horse racing,Polo,Shooting,Snooker,A,-
3,"First human heart transplant operation conducted by Dr. Christiaan Barnard on Louis Washkansky, was conducted in",1967,1968,1958,1922,A," Louis Washkansky (1913 - 21 December 1967) was the recipient of the world's first human heart transplant.
Washkansky died of double pneumonia eighteen days after the transplant because of a weakened immune system. "
1,Galileo was an Italian astronomer who,developed the telescope,discovered four satellites of Jupiter,discovered that the movement of pendulum produces a regular time measurement,All of the above,D,-
1,Habeas Corpus Act 1679,states that no one was to be imprisoned without a writ or warrant stating the charge against him,provided facilities to a prisoner to obtain either speedy trial or release in bail,safeguarded the personal liberties of the people against arbitrary imprisonment by the king's orders,All of the above,D,-
1,In which year of First World War Germany declared war on Russia and France?,1914,1915,1916,1917,A,-
2,ICAO stands for,International Civil Aviation Organization,Indian Corporation of Agriculture Organization,Institute of Company of Accounts Organization,None of the above,A,-
1,India's first Technicolor film ____ in the early 1950s was produced by ____,"'Jhansi Ki Rani', Sohrab Modi","'Jhansi Ki Rani', Sir Syed Ahmed","'Mirza Ghalib', Sohrab Modi","'Mirza Ghalib', Munshi Premchand",A,-
3,India has largest deposits of ____ in the world.,gold,copper,mica,None of the above,C," The British Geological Survey reports that as of 2005, Kodarma district in Jharkhand state in India had the largest deposits of mica in the world. "
2,How many Lok Sabha seats belong to Rajasthan?,32,25,30,17,B,-
3,India's first satellite is named after,Aryabhatta,Bhaskara II,Bhaskara I,Albert Einstein,A,-
3,India's first atomic reactor was,Zerlina,Dhruva,Apsara,Kamini,C,-
2,"In which year, terrorists crash two planes into New York's World Trade Centre on September 11 in a sequence of destruction?",2000,2001,2002,2003,B,-
2,India's first ocean wave's energy project was launched in,1981,1991,1995,2000,B,-
2,"In which of the following years, the membership of the Security Council was increased from 11 to 15 (under Article 23)?",1960,1965,1972,1975,B,-
3,India's tallest stone statue of the Jain sage Gomateswara is at,"Mysore, Karnakata",New Delhi,"Sravanabelagola, Karnataka","Mandu, Madhya Pradesh",C,-
2,"In 1945, fifty nations met to phrase the basic charter for a world organization which would ""save succeeding generations from the scourge of war"". This conference took place at",Dumbarton Oaks,London,San Francisco,Yalta,C,-
1,"In a normal human body, the total number of red blood cells is",15 trillion,20 trillion,25 trillion,30 trillion,D,-
2,INS Venduruthy is located at,Kochi,Lonavla,Jamnagar,Mumbai,A,-
1,In which season do we need more fat?,Rainy season,Spring,Winter,Summer,C,-
1,How much districts are there in Punjab?,13,17,22,15,C,-
2,India participated in Olympics Hockey in,1918,1928,1938,1948,B,-
1,"If force is expressed in Newton and the distance in metre, then the work done is expressed in",Joule,Kg wt,Kg wt m,Watt,A,-
1,How many teeth does a normal adult dog have?,32,34,38,42,D,-
3,How many red blood cells does the bone marrow produce every second?,2 million,5 million,7 million,10 million,A, The formation of a red blood cell from hemocytoblast takes about 2 days. The body makes about two million red blood cells every second. 
2,How many times has Brazil won the World Cup Football Championship?,Four times,Twice,Five times,Once,C,-
3,"If speed of rotation of the earth increases, weight of the body",increases,remains unchanged,decreases,may decrease or increase,C,-
2,"In August, 1996 at Kolar(near Bangalore), India made successful test flights of Unmanned Air Vehicle (UAV) named",Arjun,Nishant,Vijayanta,Lakshya,B,-
1,IDA stands for,Indian Development Agency,International Development Agency,Industrial Development Analyses,None of the above,B,-
2,Indira Gandhi was assassinated in,1974,1984,1994,2004,B,-
2,India's first nuclear blast at Pokhran in Rajasthan took place in,1984,1974,1964,1954,B,-
1,How many players are there on each side in the game of Basketball?,4,5,6,7,B,-
3,"In a normal human being, how much time does food take to reach the end of the intestine for complete absorption?",About 8 hours,About 12 hours,About 16 hours,About 18 hours,B,-
1,In certain diseases antibiotics are administered. The object is,stimulate production of white blood cells for fighting the disease,stimulate production of antibodies,inhibit the growth of bacteria,produce toxins against bacteria,C,-
1,"In cricket, the two sets of wickets are",18 yards apart,20 yards apart,22 yards apart,24 yards apart,C,-
1,India's first indigenous helicopter was successfully flown in Bangalore on,"August 30, 1992","August 30, 1982","August 30, 1990",None of the above,A,-
2,In which of the followings places was the last Winter Olympics Games held?,Albertville,Lillehammer,"Sochi, Russia",Salt Lake City (USA),C,-
1,Hundred year war was fought between,France and England,Greek and Persian forces,Civil war in England,None of the above,A,-
1,"In which of the following pairs, the two substances forming the pair are chemically most dissimilar?",Sugar and paper,Butter and paraffin wax,Chalk and marble,Charcoal and diamond,B,-
3,India's Integrated Missiles Development Programme was started in ____ under the chairmanship of Dr.  A.P.J. Abdul Kalam.,1979-80,1980-81,1981-82,1982-83,D,-
3,INS Agrani (Petty Officers' School) is situated at,Mumbai,Jamnagar,Coimbatore,Lonavla,C,-
3,Hybridization is,downward movement of water through soil,a process of tilling the land,decayed vegetable matter,cross-fertilization between two varieties,D,-
3,"In which world cup cricket final, Australia beat England?","1983, Lord's - England","1987, Kolkata - India","1992, Melbourne - Australia","1996, Lahore - Pakistan",B,-
3,India is the ____ grower of pulses.,largest,smallest,appropriate for national need,None of the above,A,-
3,"In cricket, a run taken when the ball passes the batsman without touching his bat or body is called",leg bye,bye,bosie,drive,B,-
2,How many non-permanent Security Council (UNO) members are from Afro-Asian countries?,5,15,2,1,A,-
3,"Indira Gandhi Centre for Atomic Research, established in 1971, is located at",Indore,"Trombay, Maharashtra","Kalpakkam, Chennai",Kolkata,C,-
3,In which year did Sir Edmund Hillary reach the summit of Mount Everest?,1952,1953,1954,1955,B," Edmund Percival Hillary, born in Auckland New Zealand in the year 1919, was the first to reach the summit of Mount Everest together with Sherpa Tenzing Norgay on May 29, 1953.
A man with a heart !! Died on the 11 January 2008, a sad loss to New Zealand. "
3,HP stands for,Harmonic Progression,Horse Power,both (a) and (b),None of the above,C,-
2,India's first fast breeder neutron reactor was,Zerlina,Apsara,Purnima-I,Kamini,D,-
2,India's first atomic power station was set up at,Surat (Gujarat),Tarapur (Maharashtra),Trombay (Maharashtra),Solapur (Maharashtra),B,-
3,How many Ergs are there in 1 joule?,102,104,106,107,D,-
2,"In 1943, Franklin D. Roosevelt, Winston Churchill and Joseph Stalin met at Teheran primarily",to discuss the strategy to be adopted by the Allies to invade Germany,to consider a common plan of action by the Allies forces against the axis powers,for creating an effective instrument for maintaining international peace,to work out a common line of action against Japan,C,-
1,"Innocent III, who became pope in 1198 led",the first crusade,the second crusade,the third crusade,the fourth crusade,D,-
2,In which year a resolution 'Uniting for Peace' was adopted by UN General Assembly?,1950,1960,1965,1980,A,-
3,In which of the following organs of human body does maximum absorption of food take place?,Gullet,Large intestine,Small intestine,Stomach,C,-
1,Human Rights Day is on,24 February,10 December,15 May,21 July,B,-
1,"In the last World Cup Hockey Finals in 2002, Germany beat ____",Pakistan,Australia,India,Spain,B,-
3,How much of blood does the normal human heart on each of its contraction pump into the arteries?,30 cm3,60 cm3,30 cm5,60 cm5,B,-
2,Hygrometer is used to measure,relative humidity,purity of milk,specific gravity of liquid,None of the above,A,-
2,India became a member of the United Nations in,1945,1947,1959,1960,A,-
3,India has,largest turmeric production,largest tea production,largest ginger production,All of the above,D,-
3,India's first indigenously built submarine was,INS Savitri,INS Shalki,INS Delhi,INS Vibhuti,B,-
2,How many medals came into the account of India during the last Commonwealth Games in 2002 at Manchester?,32,24,69,16,C,-
1,If the plane of the earth's equator were not inclined to the plane of the earth's orbit,the year would be longer,the winters would be longer,there would be no change of seasons,the summers would be warmer,C,-
3,India played its first cricket Test Match in,1922,1932,1942,1952,B,-
1,India has been represented as a non-permanent member of the Security Council (UNO) during,1972-73,1984-85,1991-92,All of the above,D,-
2,How many Lok Sabha seats does Goa have?,16,2,11,15,B,-
1,"In Air Force, Air Commodore has one rank higher than",Squadron Leader,Air Vice-Marshal,Group Captain,Air Marshal,C,-
3,How much districts are there in Tamil Nadu?,26,27,28,32,D,-
1,How much districts are there in Meghalaya?,11,2,5,9,A,-
1,How many Dynes are there in 1 gram weight?,900,375,981,250,C,-
3,"In big cities like Delhi, Kolkata, Mumbai, Chennai police is headed by a",Commissioner of Police,Inspector General of Police,Deputy Inspector General of Police,None of the above,A,-
1,Indian Institute of Petroleum is located at,Dehradun,Kolkata,Dhanbad,New Delhi,A,-
1,In which of the following team events India got a Gold Medal at the 2002 Asian Games?,Kabaddi,Hockey,4 x 200 m Relay,4 x 100 m Relay,A,-
2,"In which year during World War I, USA declared war on Germany, Britain defeated Turkey and captured Baghdad and Jerusalem?",1917,1918,1919,1920,A,-
3,"In 1947, Algeria became politically unified with France but the 80 percent population revolted against French domination",Muslim,Hindu,Christian,Jain,A,-
2,India's first satellite is named after,Aryabhatta,Bhaskara II,Bhaskara I,Albert Einstein,A,-
3,India's first atomic reactor was,Zerlina,Dhruva,Apsara,Kamini,C,-
1,"In which year, terrorists crash two planes into New York's World Trade Centre on September 11 in a sequence of destruction?",2000,2001,2002,2003,B,-
3,India's first ocean wave's energy project was launched in,1981,1991,1995,2000,B,-
2,"In which of the following years, the membership of the Security Council was increased from 11 to 15 (under Article 23)?",1960,1965,1972,1975,B,-
2,Kiran Bedi received Magsaysay Award for government service in,1992,1993,1994,1995,C,-
1,Logarithm tables were invented by,John Napier,John Doe,John Harrison,John Douglas,A,-
3,With which sport is the Jules Rimet trophy associated?,Basketball,Football,Hockey,Golf,B," It is associated with football (soccer if you're yanks). The Jules Rimet trophy was the original trophy awarded to the winners of the World Cup. Although originally being named Victory, the trophy was later named after the then president of FIFA, Jules Rimet. "
2,Joule is the unit of,temperature,pressure,energy,heat,C,-
1,Kemal Ataturk was,the first President of Independent Kenya,the founder of modern Turkey,revolutionary leader of Soviet Union,None of the above,B,-
3,"Milkha Singh Stood ____ in 1960 Olympics, in Athletics.",fourth in 400m final,second in 400m final,eighth in 50km walk,seventh in 800m final,A,-
2,Ms. Medha Patkar is associated with the,Tehri project,Enron project,Sardar Sarovar project,Dabhol project,C,-
1,"Kathakali, Mohiniatam and Ottamthullal are the famous dances of",Kerala,Karnataka,Orissa,Tamil Nadu,A,-
2,Jaspal Rana is associated with which of the following games?,Swimming,Archery,Shooting,Weightlifting,C,-
1,Lala Lajpat Rai is also known as,Sher-e-Punjab,Punjab Kesari,both (a) and (b),None of the above,C,-
3,Modern football is said to have evolved from,England,India,France,Spain,A,-
2,Nowadays many novel chemicals are being synthesized termed as xenobiotics. The unique feature of these is what they are biodegradablenon- biodegradablepose on environmental threatthey are environment friendly,"I, III","II, III","I, III, IV","II, III, IV",B,-
3,Modern Indo-Aryan languages are based on an ancient language called,Hindi,Sanskrit,Kannada,Tamil,B,-
1,Lakshmibai National College of Physical Education is located at,Bhopal,Gwalior,Karnal,Patiala,B,-
3,Malfunctioning of which of the following organs causes jaundice?,Stomach,Pancreas,Liver,Kidney,C,-
3,Olympic creed and oath was composed by ____ the founder of modern Olympics.,Rev Father Didon,Baron Pierre de Coubertin,Norman Pitchard,None of the above,B,-
1,"Kathak, Nauntanki, Jhora and Kajri are the important dances of",Uttaranchal,Uttar Pradesh,Jharkhand,Chhattisgarh,B,-
1,"Lance Armstrong, a sportsperson of international repute, belongs to which of the following countries?",USA,Ukraine,Spain,Brazil,A," Lance Edward Armstrong (born Lance Edward Gunderson on September 18, 1971) is an American professional road racing cyclist who is best known for winning the Tour de France a record seven consecutive times, after having survived testicular cancer. "
1,Ludhiana is situated on ____ river.,Gomti,Yamuna,Satluj,Godavari,C,-
1,Kiran Bedi is,first woman IAS officer,first woman IPS officer,first woman advocate,first woman judge,B,-
2,K.S. Ranjit Singhji was,first Bar-at-law,first Air Marshal,first Indian test cricketer,first Field Marshal,C,-
1,National Defence Academy is situated at,Khadakvasla,New Delhi,Wellington,Dehradun,A,-
3,Modvat is,modified value added,a term used in excise which is a new scheme of indirect taxes,scheme which allows a manufacturer to claim instant reimbursement of the excise duty paid on the raw materials used for the production of the final good,All of the above,D,-
1,Number  of commands of Air Force are,five,six,seven,eight,C,-
2,"Of the following foods, which one is the best source of protein?",Butter,Fish,Lettuce,Milk,B,-
3,MISA stands for,Maintenance of Internal Security Act,Multinational Internal Society Authority,Movement for Indian System Act,None of the above,A,-
1,Mount Everest was captured by Edmund Hillary and Tenzing Norgay in the year,1951,1952,1953,1954,C,-
1,Karoline Mikkelsen was the first woman to,reach North Pole,reach South Pole,climb Mt. Everest,set foot on the moon,B,-
3,Liquids transmit pressure equally in all directions. This is known as,Boyle-Pascal's Law,Pascal's Law,Archimedes' Principle,None of the above,B,-
3,"John F. Kennedy, President of USA, died on",1963,1964,1965,1966,A,-
3,Lal Bahadur Shastri,succeeded Pandit Nehru as the second Prime Minister of India,signed the Tashkent Agreement with Ayub Khan for a ceasefire between India and Pakistan,"is also known as ""Man of Peace""",All of the above,D,-
1,"On a night when the sky is clear, the temperature may dip considerably; on a cloudy night the temperature will usually dip much less. The reason for this difference is that",the clear sky allows radiant energy to escape readily from the earth,on a cloudy night the clouds are warm and therefore retard the cooling,the clear sky allows the cold of outer space to reach the earth,current of air carry the heat away from the earth on a clear night,A,-
2,Normally the Commonwealth Games are held at intervals of,3 years,4 years,5 years,there is no fixed interval,B,-
3,Mahakavi Kalidas,was one of the greatest Sanskrit poet and dramatist,lived during the region of Chandragupta Vikaramaditya,"famous works include Shakutala, Raghuvansha, Meghdoot and Kumara Sambahava",All of the above,D,-
1,Name the instrument used to measure relative humidity,Hydrometer,Hygrometer,Barometer,Mercury Thermometer,B,-
1,National Remote Sensing Agency (NRSA) was setup in,1980,1985,1990,1995,A,-
2,Mina is the tribe of,Tripura,Sikkim,Rajasthan,"Nagaland, Assam",C,-
2,King Hammurabi raised the first army of the world in,2000 BC,1500 BC,1480 BC,1027 BC,A,-
2,National Institute of Occupation Health is located at,Bangalore,Ahmedabad,Pune,Mumbai,B,-
1,Kanishka was,the king of Kushan dynasty,a great conqueror but later became a follower of Buddha,the only ruler of India whose territory extended up to central Asia,All of the above,D,-
3,National Institute of Oceanography is located at,Panaji (Goa),Lucknow (Uttar Pradesh),Pune (Maharashtra),Nagpur (Maharashtra),A,-
2,Nuclear power is ____ thermal power.,cheaper than,costlier than,equal in amount,they cannot be related,A,-
1,Michael Faraday discovered,electromagnetism,"benzene, liquid gases and optical glass",the induction of electric current,All of the above,D,-
2,Mother Teresa won the Nobel Prize for Peace in,1992,1979,1988,1954,B,-
3,Most commonly used bleaching agent is,alcohol,carbon dioxide,chlorine,sodium chloride,C,-
1,"Of the UN Agencies, which one specifically aims at further economic development by encouraging productive private enterprise?",United Nations Industrial Development Organisation,International Finance Corporation,International Monetary Fund,World Bank,B,-
2,Neil Armstrong and Edwin Aldrin were the first to,step on the moon,circle the moon,walk in space,journey into space,A,-
2,Lal Bahadur Shastri is also known as,Guruji,Man of Peace,Punjab Kesari,Mahamana,B,-
1,Lime is sometimes applied to soil in order to,increase the alkalinity of the soil,increase the acidity of the soil,restore nitrates to the soil,make the soil more porous,A,-
2,"Magsaysay awards are named after Ramon Magsaysay, ____ who was known for his land reform programme to defuse communist insurgency.",President of the Philippines,President of the Spain,President of the Scotland,President of the Malaysia,A,-
