Difficulty Level,Question,Option A,Option B,Option C,Option D,Correct Answer,Description,
3,Which is a non-standard version of a computing language?,PROLOG,APL,Army,PL/1,C,-,
3,Which of the following is still useful for adding numbers?,EDSAC,ENIAC,Abacus,UNIVAC,C,-,
3,The average time necessary for the correct sector of a disk to arrive at the read write head is _____,Down time,Seek time,Rotational delay,Access time,C,-,
3,A number that is used to control the form of another number is known as,Map,Mask,Mamtossa,Marker,B,-,
3,A general purpose single-user microcomputer designed to be operated by one person at a time is,Special-purpose computer,KIPS,M,PC,D,-,
3,ASCII stands for,American   standard   code   for information interchange,All purpose scientific code for information interchange,American    security    code    for information interchange,American Scientific code  for information interchange,A,-,
1,Which device of computer operation dispenses with the use of the keyboard?,Joystick,Light pen,Mouse,Touch,C,-,
3,"The microcomputer, Intel MCS-80 is based on the widely used Intel",8080 microprocessor,8085 microprocessor,8086 microprocessor,8082 microprocessor,A,-,
2,Which is a machine-oriented high-level language for the GEC 4080 series machines.,LOGO,SNOBOL,Babbage,ALGOL,C,-,
3,"A program that is employed in the development, repair or enhancement of other programs is known as",System software,Software tool,Applications program,Utility program,B,-,
1,Any storage device added to a computer beyond the immediately usable main storage is known as,Floppy disk,Hard disk,Backing store,Punched card,C,-,
2,Which output device is used for translating information from a computer into pictorial form on paper.,Mouse,Plotter,Touch panel,Card punch,B,-,
1,The list of coded instructions is called,Computer program,Algorithm,Flowchart,Utility programs,A,-,
3,The tracks on a disk which can be accessed without repositioning the R/W heads is,Surface,Cylinder,Cluster,All of the above,B,-,
2,Which of the following is the 1's complement of 10?,1,110,11,10,A,-,
2,A section of code to which control is transferred when a processor is interrupted is known as,M,SVC,IP,MDR,A,-,
3,Which part interprets program instructions and initiate control operations.,Input,Storage unit,Logic unit,Control unit,D,-,
1,The binary system uses powers of,2,10,8,16,A,-,
1,A technique used by codes to convert an analog signal into a digital bit stream is known as,Pulse code modulation,Pulse stretcher,Query processing,Queue management,A,-,
1,An optical input device that interprets pencil marks on paper media is,O.M.R,Punch card reader,Optical scanners,Magnetic tape,A,-,
3,Most important advantage of an IC is its,Easy   replacement   in   case   of circuit failure,Extremely high reliability,Reduced cost,Low power consumption,B,-,
2,Data division is the third division of a _____ program.,COBOL,BASIC,PASCAL,FORTH,A," The statements, entries, paragraphs, and sections of a COBOL source program are grouped into four divisions.
1.IDENTIFICATION DIVISION
2.ENVIRONMENT DIVISION
3.DATA DIVISION
4.PROCEDURE DIVISION ",
1,Which language was devised by Dr. Seymour Aubrey Papert?,APL,COBOL,LOGO,FORTRAN,C,-,
3,A program that converts computer data into some code system other than the normal one is known as,Encoder,Simulation,Emulator,Coding,A,-,
3,A device designed to read information encoded into a small plastic card is,Magnetic tape,Badge reader,Tape puncher,Card puncher,B,-,
2,A hybrid computer uses a _____ to convert   digital   signals   from   a computer into analog signals.,Modulator,Demodulator,Modem,Decoder,C,-,
3,"A group of magnetic tapes, videos or terminals usually under the control of one master is",Cylinder,Cluster,Surface,Track,B,-,
3,Any device that performs signal conversion is,Modulator,Modem,Keyboard,Plotter,A,-,
1,Codes consisting of light and dark marks which may be optically read is known as,Mnemonics,Bar code,Decoder,All of the above,B,-,
1,A type of channel used to connect a central processor and peripherals which uses multipling is known as,Modem,Network,Multiplexer,All of the above,C,-,
2,The first generation of computers available was based on the bit micro processors.,4,8,16,64,B,-,
3,The complete picture of data stored in database is known as,Record,Schema,System   flowchart,DBMS,B,-,
1,Which of the following is intended to be used in all applications runs on mainframe computers.,LOGO,APL,PL/1,OCCAM,C,-,
1,A language which is close to that used within the computer is,High-level language,Assembly language,Low-level language,All of the above,C,-,
1,Which is a unit representing the no bits of discrete.,Baud,Byte,Bit,All of the above,A,-,
2,The device that can both feed data into and accept data from a computer is,ALU,CPU,Input-Output device,All of the above,C,-,
2,The personnel who deals with the computer & its management put together are called,Software,Humanware,Firmware,Hardware,B,-,
2,A modern digital computer has,Extremely high speed,Large memory,Almost unlimited array,All of the above,D,-,
1,Which of the following can store information in the form of microscopic pits on metal disks.,Laser disks,Tape cassettes,RAM cartridge,Punched cards,A,-,
3,A device for converting handwritten impressions into coded characters & positional coordinates for input to a computer is,Touch panel,Mouse,Wand,Writing tablet,D,-,
1,A storage system for small amounts of data is,Magnetic card,Magnetic tape,Punched card,Optical mark reader,A,-,
3,Which is another name for functional language?,Machine,Application language,Low-level language,High-level language,B,-,
1,Compilers and interpreters are themselves,High-level language,Codes,Programs,Mnemonics,C,-,
2,A compiler means,A person who compiles source programs,The same thing as a programmer,Keypunch operator,A program which translates source program into object program,D,-,
3,"A pen shaped device which can sense light, and is used to point at spots on a video screen.",Mouse,Light pen,Joystick,Plotter,B,-,
2,A notation used to express clearly on algorithm is known as,Algorithmic language,Assembly language,Machine language,High level language,A,-,
2,Compression of digital data for efficient storage is,Buffer,CPU,Packing,Field,C,-,
1,An operating system intended for use on microprocessor based systems that support a single user is,PC-DOS,MS-DOS,UNIX,CP/M,D,-,
3,Which programming language is based on Algol 60.,PILOT,SNOBOL,ADA,SIMULA,D,-,
1,Computer memory consists of,RAM,ROM,PROM,All of the above,D,-,
1,A path by which communication is achieved between a central processor and other devices is called,Audit trail,Network,Bus,Channel,C,-,
3,A stand-alone system which produces one page of printed output at a time is,Page printer,Line printer,Laser printer,Dot matrix printer,A,-,
3,A memory that does not change its contents without external causes is known as,Dynamic memory,Static memory,RAM,EEPROM,B,-,
2,The report card and merit list forms the,Output data,Data processing,Central Processing,Input data,A,-,
1,A number which is stored and processed but not in the standard exponential form is called,Floating point number,Fixed point number,Octal number,Decimal number,B,-,
2,A memory that holds micro programs is,Core memory,ROM,RAM,Control memory,B,-,
3,"A device invented by Dr. Bobeck in 1966, for mass storage of data is",Punched paper tape,Magnetic bubble storage,Magnetic tape,Magnetic disk,B,-,
2,The organization and interconnection of the various components of a computer system is,Architecture,Networks,Graphics,Designing,A,-,
1,Which of the following is the coding of data so that is can't be easily understood if intercepted.,Barcode,Decoder,Encryption,Mnemonics,C,-,
1,RAM is used as a short memory because it is,Volatile,Has small capacity,Is very expensive,Is programmable,A,-,
3,A modern electronic computer is a machine that is meant for,Doing     quick     mathematical calculations,"Input storage, manipulation of outputting of data",Electronic data processing,Performing     repetitive     tasks accurately,B,-,
3,Which is a device that changes information into digital form?,Modem,Digitizer,Mouse,Light pen,B,-,
2,An index register that is automatically incremented or decremented with each use is,Auto index,Asynchronous,Assembler,Compiler,A,-,
1,Which network is a packet switching network?,Ring network,LAN,Star network,EuroNET,D,-,
3,Symbolic languages were developed in,1962,1950,1974,1980,B,-,
3,A program that converts computer data into some code system other than the normal one is known as,Encoder,Simulation,Emulator,Coding,A,-,
2,A device designed to read information encoded into a small plastic card is,Magnetic tape,Badge reader,Tape puncher,Card puncher,B,-,
3,A hybrid computer uses a _____ to convert   digital   signals   from   a computer into analog signals.,Modulator,Demodulator,Modem,Decoder,C,-,
3,"A group of magnetic tapes, videos or terminals usually under the control of one master is",Cylinder,Cluster,Surface,Track,B,-,
3,Any device that performs signal conversion is,Modulator,Modem,Keyboard,Plotter,A,-,
1,"As compared to diskettes, the hard disks are",more expensive,more portable,less rigid,slowly accessed,A,-,
3,What is the name given to the molecular-scale computer?,Femtocomputer,Nanocomputer,Supercomputer,Microcomputer,B,-,
1,Who is considered the 'father' of the minicomputer and one of the founder fathers of the modern computer industry world-wide?,George Tate,Kenneth H. Olsen,Seymour Cray,Basic Pascal,B,-,
3,The first microprocessors produced by Intel Corpn. and Texas Instruments were used primarily to control small,microwave ovens,washing machines,calculators,personal computers,C,-,
2,Which printer uses a combination of laser-beam & electro photographic techniques.,Laser printers,Dot-Matrix,Line printer,Daisy wheel,A,-,
3,A billionth of a second is defined as a:,millisecond,microsecond,nanosecond,picoseconds,C,-,
2,Which of the following is not currently a topic in computer science?,Speech recognition,Artificial intelligence,Thermodynamics,Multiprocessing,C,-,
1,Where have the program and data to be located before the ALU and control unit of a computer can operate on it?,Internal memory,Secondary memory,Microprocessor,Magnetic tapes,A,-,
1,When was Apple Macintosh II microcomputer introduced in the market?,1964,1970,1983,1986,C,-,
3,Control Unit of a digital computer is often called the,Clock,Nerve center,ICs,All of the above,B,-,
3,"The unit of a computer system that executes program, communicates with and often controls the operation of other subsystems of the computer is known as",CPU,Control Unit,I/O unit,Peripheral unit,A,-,
2,Human beings are referred to as Homosapiens. Which device is called Silico sapiens?,Monitor,Hardware,Robot,Computer,D,-,
3,Which access method is used for obtaining a record from a cassette tape,direct,sequential,random,All of the above,B,-,
2,The most important advantage of a video disk is,Compactness,Potential capacity,Durability,Cost effectiveness,B,-,
3,The process of entering data into a storage location,adds   to   the   contents   of  the location,cause variation  in its address number,is known as a readout operation,is destructive of previous contents,D,-,
2,Time during which a job is processed by the computer is,Delay time,Real time,Execution time,Down time,C,-,
3,Which of the following is used to insure the high quality of computer output?,computer output microfilm,output controls,voice output systems,liquid crystal display,B,-,
2,The most common binary code in use today is the 8 bit ASCII code. What do the letters ASCII stand for?,American   Standard   Code   for International Interchange,American   Standard   Code   for Information Interchange,American   Standard   Code   for Intelligence Interchange,American Scientific Code for Information Interchange,B,-,
2,The software used to convert source program instructions to object instruction is known as,Compiler,Assembler,Interpreter,Language processor,D,-,
1,Binary numbers need more places for counting because:,0's and 1's can be added in front of them,0's and 1's have to be properly placed,They are always big numbers,Binary base is small,D,-,
2,Backing storage is so named because it,is always kept at the back of the CP.U.,is slow and backward,backs up the computer's main memory,lags behind the main memory,C,-,
2,The ASCII code for the character J is:,1001 0001,1001 1010,0100 1010,1010 0001,C,-,
3,Off-line operation is the operation of devices without the control of,Memory,CPU,ALU,Control unit,B,-,
2,What is meant by a dedicated computer?,Which  is used by one person only,Which is assigned one and only one task,Which uses on kind of software,Which is meant for application software only,B,-,
2,Which of the following is the user programmed semiconductor memory?,SRAM,DRAM,EPROM,All of the above,C,-,
2,An instruction that transfers program control to one or more possible paths is known as,Utility program,System software,Broadband channel,Application program,C,-,
1,The two kinds of main Memory are:,Primary and secondary,Random and sequential,ROM and RAM,All of the above,C,-,
1,Name of the first guided weapon in the world which used a programmable digital computer:,Sting Ray Torpedo,Mk 46 Torpedo,Air-Launched   Cruise   Missile (ALCM),Tomahawk Missile,A,-,
1,Programs designed to perform specific tasks is called known as,System software,Application software,Utility programs,Operating system,B,-,
2,What is the name given to the weapons which use computerised guidance system?,Guided weapons,Smart weapons,Dumb weapons,Starwars weapons,B,-,
2,A monitor's _____ is the distance between the holes in the mask behind the screen. This helps determine how sharp the dots appear.,refresh rate,dot pitch,resolution,color depth,B,-,
3,The ALU of a computer normally contains a number of high speed storage elements called,semiconductor memory,registers,hard disk,magnetic disk,B,-,
1,What is the name of the printer which prints all the A's in a line before all the B's?,Thermal printer,Electrostatic printer,Line printer,Ink-jet printer,C,-,
3,A _____ is simply an arrangement where multiple disk drives appear as a single disk drive to the user.,disk,disk array,bunch of disks,disk pack,B,-,
3,Conversion of binary number 1010101000010111 to hexadecimal number is,D8F916,A8B916,AA1716,D9F816,C,-,
1,"In comparison with static RAM memory, the dynamic RAM memory has",lower   bit  density   and   higher power consumption,higher bit density  and  higher power consumption,lower   bit   density   and   lower power consumption,higher  bit  density   and   lower power consumption,D,-,
2,Which of the following holds data and processing instructions temporarily until the CPU needs it?,ROM,control unit,main memory,coprocessor chips,C,-,
2,A multi programming system is one that can,run very fast,share hardware resources with many programs simultaneously,compute       many       programs simultaneously,use many operating systems,B,-,
3,The language that is an input for statement translation is called,Assembly language,Source language,High-level language,Object language,B,-,
1,"All the instructions and procedures needed to start up a computer, to the point it can load an operating system, are stored in ROM chips. In IBM compatible PCs this is called the _____",RAM BIOS,ROM BIOS,EPROM,POST,B,-,
2,"Before a disk drive can access any sector record, a computer program has to provide the record's disk address. What information does this address specify?",Track number,Sector number,Surface number,All of the above,D,-,
3,A high speed device used in CPU for temporary storage during processing is called,A register,A bus,A databus,All of the above,A,-,
2,"Computers are extremely fast and have fantastic memories. However, the only thing they can remember is",Instruction,Series of 1s and 0s,Boolean algebra,Logic theorems,B,-,
2,The first electronic digital computer contained?,Electronic valves,Vacuum tubes,Transistors,Semiconductor memory,B,-,
1,Name the two persons who were the first to develop a model of the microprocessor chip.,Marcian Ted Hoff,Victor Poor,Harry pyle,Both (b) and (c),D,-,
3,EBCDIC can code up to how many different characters?,8,16,32,64,D,-,
2,Who is credited with the idea of using punch cards to control patterns in a weaving machine?,Pascal,Hollerith,Babbage,jacquard,D,-,
1,Which 32-bit microprocessor is used in IBM's PS/2 model-80 computer?,8088,80286,80386,80486,C,-,
1,The memory which is ultraviolet light erasable and electrically programmable is,ROM,PROM,RAM,EPROM,D,-,
2,What is the name of the computer which was first used for programming and playing of music?,ELLIAC,ENIAC,UNIVAC,All of the above,A,-,
1,A billionth of a second is defined as a:,millisecond,microsecond,nanosecond,picoseconds,C,-,
3,Which of the following is not currently a topic in computer science?,Speech recognition,Artificial intelligence,Thermodynamics,Multiprocessing,C,-,
2,Where have the program and data to be located before the ALU and control unit of a computer can operate on it?,Internal memory,Secondary memory,Microprocessor,Magnetic tapes,A,-,
3,When was Apple Macintosh II microcomputer introduced in the market?,1964,1970,1983,1986,C,-,
3,Control Unit of a digital computer is often called the,Clock,Nerve center,ICs,All of the above,B,-,
2,The access method used for cassette tape is,Direct,Random,Sequential,All of the above,C,-,
1,The arranging of data in a logical sequence is called:,sorting,classifying,reproducing,summarizing,A,-,
1,Who is the creator of the PASCAL language?,Niklaus Wirth,Dijkstra,Donald Knuth,Basic Pascal,A,-,
3,When was punched-card equipment used for the first time to process the British census?,1910,1907,1911,1914,C,-,
2,A hashing scheme is used with,sequential file organization,direct file organization,indexed         sequential         file organization,partitioned file organization,B,-,
2,The time taken for the read/write head to move to the correct track on the magnetic disk is called,epoch delay,latency delay,seek time,approach time,C,-,
3,A computer has a 1024K memory. What does the letter K stand for,Kilometre,Thousand,1024,MB,C,-,
2,Computer instructions written with the use of English words instead of binary machine code is called,Mnemonics,Symbolic code,Gray code,Op-code,B,-,
1,The system unit of a personal computer typically contains all of the following except:,microprocessor,disk controller,serial interface,modem,D,-,
3,Which of the following are the two main components of the CPU?,control unit and registers,registers and main memory,control unit and ALU,ALU and bus,C,-,
2,A characteristic of card systems is:,slowness in processing data,using    cards    as    records    of transactions,needing a larger DP staff,all the above,D,-,
3,A directly accessible appointment calendar is a feature of a _____ resident package.,CPU,Memory,Buffer,ALU,B,-,
1,1024 bytes represent a,Megabyte,Gigabyte,Kilobyte,None of the above,C,-,
1,Which type device is a piece of equipment that receives information from a CPU?,Input,Output,CPU,Memory,B,-,
1,Computer Operators,Write computer programs for specific problems,Operate the devices which input and output data from the computer,Normally require a college degree in computer science,All of the above,B,-,
3,When was the IBM XT microcomputer released in the market?,1970,1971,1987,1986,C,-,
2,Which of the following is not used for storage purposes with main frame computers?,removable disks,fixed disks,mass storage systems,diskettes,D,-,
3,Which is true for the digital computer?,It is less accurate than the analog computer,It represents the decimal numbers through a string of binary digits,It is used primarily in scientific applications,Both (a) and (c),B,-,
1,Which of the following terminals' output most closely resembles the output produced by a plotter?,graphics terminal,POS terminal,hardcopy terminal,all the above,A,-,
1,What is the main advantage of magnetic core memory over semiconductor RAM memory?,more compact and smaller,more economical,a bit does not have to write after reading,non volatile,D,-,
2,Which of the following is used for serial access storage only?,RAM,Magnetic tape,Magnetic disk,Core memory,B,-,
3,A memory space used for the temporary storage of data is,PROM,SAM,Scratchpad storage,Buffer,C,-,
1,What is the name of the logic circuit which can add two binary digits?,Full adder,Half adder,Buffer,Register,B,-,
3,A small film-plate which is used for microfilming the output from a microcomputer screen is called,microfilm,microfiche,film card,COM,B,-,
1,The ALU and control unit of most of the microcomputers are combined and manufactured on a single silicon chip. What is it called?,Monochip,Microprocessor,ALU,Control Unit,B,-,
1,Continuous line drawing are produced using,Chain printers,Daisy wheel printers,Plotters,Thermal devices,C,-,
2,Which of the following registers is loaded with the contents of the memory location pointed by the PC?,Memory Address Register,Memory Data Register,Instruction Register,Program Counter,C,-,
2,"Storage on PC allows you to store files until something erases it, but memory loses its contents whenever its _____ is lost",static,disk space,power,both a and b above,C,-,
2,One byte can be used to encode any integer between 'O' and -inclusive,16,256,128,255,D,-,
3,Why is the width of the data bus so important to the processing speed of a computer?,"The narrower it is, the greater the computer's processing speed","The wider it is, the more data that can fit into main memory","The wider it is, the greater the computer's processing speed","The wider it is, the slower the computer's processing speed",C,-,
1,How many types of storage loops exist in magnetic bubble memory?,8,4,16,2,D,-,
1,The function of CPU is,to provide a hard copy,"to read, interpret and process the information and instruction",to communicate with the operator,to provide external storage of text,B,-,
2,The bubbles in a bubble memory pack are created with the help of?,Laser beam,Magnetic field,Electric field,X-ray,B,-,
2,The central processor of a modern digital computer consists of,control unit,primary memory,control unit and primary memory,All of the above,C,-,
3,Fifth generation computers are likely to exhibit,artificial intelligence,heuristic behaviour,advanced parallel processing,All of the above,D,-,
1,"A computer system consisting of its processor, memory and I/O devices accepts data, processes it and produces the output results. Can you tell in which component is the raw data fed?",Mass Memory,Main memory,Logic unit,Arithmetic unit,B,-,
3,When did arch rivals IBM and Apple Computers Inc. decide to join hands?,1978,1984,1990,1991,D,-,
1,The transistorized computer circuits were introduced in the,First generation,Second generation,Third generation,Fourth generation,B,-,
2,The memory sizes in mainframe computers and advanced technology micro computers are expressed as,Bytes,Kilo-bytes,Bits,Megabytes,D,-,
1,A memory bus is mainly used for communication between,processor and memory,processor and I/O devices,I/O devices and memory,input device and output device,A,-,
2,An AND gate,implements logic addition,is     equivalent    to    a    series switching circuit,is an any or all gate,is    equivalent    to    a    parallel switching circuit,B,-,
3,The daily processing of corrections to customer accounts best exemplifies the processing mode of:,Batch processing,Real-time processing,Time-sharing,Offline processing,A,-,
2,Which of the following devices can be used to directly input printed text?,OCR,OMR,MICR,All of the above,A,-,
1,To locate a data item for storage is,Field,Feed,Database,Fetch,D,-,
2,Which of the following memory is capable of operating at electronics speed?,Semiconductor memory,Magnetic disks,Magnetic drums,Magnetic tapes,A,-,
2,The main purpose of time sharing techniques used in computers is to make the best use of the,CPU,peripherals,seconday storage,floppy disks,A,-,
1,Which of the following is not true of immediate processing?,It is often used in real-time applications,It can occur with either sequential of direct-access files,It can be used in an airline-reservation system,Transactions are processed shortly after a real-world event occurs,B,-,
2,"A temporary storage area, attached to the CPU, for I/O operations is a:",chip,buffer,register,core,B,-,
1,Which part of the computer were is used for calculating and comparing?,Disk unit,Control unit,ALU,Modem,C,-,
3,The person contributing the idea of the stored program was,John von Neumann,Charles Babbage,Howard Aiken,Basic Pascal,A,-,
2,The time taken for the read/write head to move to the correct track on the magnetic disk is called,epoch delay,latency delay,seek time,approach time,C,-,
2,A computer has a 1024K memory. What does the letter K stand for,Kilometre,Thousand,1024,MB,C,-,
3,Computer instructions written with the use of English words instead of binary machine code is called,Mnemonics,Symbolic code,Gray code,Op-code,B,-,
1,The system unit of a personal computer typically contains all of the following except:,microprocessor,disk controller,serial interface,modem,D,-,
2,Which of the following are the two main components of the CPU?,control unit and registers,registers and main memory,control unit and ALU,ALU and bus,C,-,
2,What was the total number of UNIVAC-I sold eventually and by which company?,"30, British Tabulating Machine Co. (BTM)","40,      International      Business Machines (IBM)","48, Remington Rand","40, International Computer Ltd. (ICL)",C,-,
1,A file containing relatively permanent data is,Random file,Transaction file,Master file,Sequential file,C,-,
1,"Communication that involves computers, establishing a link through the telephone system is called",Teleprocessing,Microprocessing,Telecommunications,All of the above,C,-,
1,Dot-matrix is a type of,Tape,Printer,Disk,Bus,B,-,
2,Which kind of devices allows the user to add components and capabilities to a computer system?,System boards,Storage devices,Input devices,Expansion slots,D,-,
2,Where does a computer add and compare data?,Hard disk,Floppy disk,CPU chip,Memory chip,C,-,
3,Which of the following require large computer memory?,Imaging,Graphics,Voice,All of the above,D,-,
1,"Which of the following are used to quickly accept, store, and transfer data and instructions that are being used immediately by the CPU?",microprocessors,registers,ROM chips,data buses,B,-,
3,Which disk interface standard includes support for up to eight peripheral devices?,ST50G/412,IDE,SCSI,ESDI,C,-,
1,"Who designed the first general purpose electronic digital computer ""ENIAC"" ?",Van-Neumann,Joseph M Juoquard,J.  Presper Ecket and John  W Mauchly,All of the above,C," John William Mauchly was an American physicist who, along with J. Presper Eckert, designed ENIAC, the first general purpose electronic digital computer, as well as EDVAC, BINAC and UNIVAC I, the first commercial computer made in the United States. ",
2,"What type of control pins are needed in a microprocessor to regulate traffic on the bus, in order to prevent two devices from trying to use it at the same time?",Bus control,Interrupts,Bus arbitration,Status,C,-,
3,The analog computer measures dimensions and its circuits use the differential and integral equations of continuous variables. The digital computer counts units and its circuits use,Logic gates,Discrete switches,Boolean algebra id)   Bayes' theorem,None of the above,C,-,
1,In synchronous transmission data from various users,Require header,Do not require header,Sometimes require header,All of the above,B,-,
2,General purpose computers are those that can be adopted to countless uses simply by changing its,keyboard,printer,program,display screen,C,-,
1,What is the name of the visible silver rectangle which separates the take-up portion of the magnetic tape from the data recording portion?,Load maker,Load marker,Tape separator,Tape marker,B,-,
3,A part located in the central processing unit that stores data & information is known as,Core memory,PROM,EPROM,ROM,A,-,
2,A software package to perform calculations on data arranged in an array is,System software,Utility programs,Electronic spread sheet,Application programs,C,-,
3,What was the name of the first stored program electronic computer which was built in 1949 at Cambridge University in England?,EDVAC,EDSAC,UNIVAC,MARK-I,B,-,
3,A computer with CPU speed around 100 million instructions per second & with the word length of around 64 bits is known as,Super computer,Mini computer,Micro computer,Micro computer,A,-,
3,A computer program consists of,System flowchart,Program flowchart,Algorithms written in computer's language,Discrete logical steps.,C,-,
2,An input device which can read characters directly from an ordinary piece of paper is,OCR,OMR,MSI,POS,A,-,
1,Which of the following is not a part of the CPU,storage unit,arithmetic and logic unit,program unit,control unit,C,-,
2,Which of the following chips can be reprogrammed with special electric pulses?,EPROM,PROM,ROM,EEPROM,D,-,
2,"In this world of fast changing computer technology, one of the most important factor to be considered while purchasing a PC is, it should have a provision for",high level integration,self upgradability,intelligent sensors,faster data access,B,-,
1,A collection of eight bits is called,Byte,Word,Record,File,A,-,
2,The ALU of a central processing unit does the essential maths work for the computer. What does the control unit do?,Communicates its results,Activates the output device,Monitors the flow of information,Control the printer,C,-,
2,Which of the following storage and retrieval methods would be well suited to your processing requirements if you only need to retrieve records one at a time and there is no fixed pattern to the requests for data and records?,indexed sectors,sequential,direct,indexed direct,D,-,
1,In MODEMS,Several    digital    signals    are multiplexed,A digital signal changes some characteristic of a carrier wave,Digital signal is amplified,All of the above,B,-,
2,Which is a secondary memory device?,CPU,ALU,Floppy disk,Mouse,C,-,
2,A storage device which is used to store data & information external to the main storage is known as,Buffer,Backing storage,PROM,Accumulator,B,-,
1,"In a PC, how much memory is available to application software?",1024 KB,760 KB,640 KB,560 KB,C,-,
3,"For a memory system, the cycle time is",same as the access time,longer than the access time,shorter than the access time,submultiple of the access time,B,-,
2,The number of records contained within a block of data on magnetic tape is defined by the,block definition,record contain clause,blocking factor,record per block factor,C,-,
2,The binary equivalent of the Octal number 13.54 is,1011.1011,1101.111,1001.111,All of the above,A,-,
3,"What process prepares the magnetic surface of a disk by creating concentric circles, called tracks, around the disk? (Each track is further divided into pic-shaped sections called sectors.)",Tracking,Formatting,Copying,Sectioning,B,-,
2,What does that acronym VGA stand for?,Extended Graphics Adapter,Enhanced Graphics Array,Video Graphics Array,Color Graphics Array,C,-,
3,Which part of the diskette should never be touched?,Hub,Centre,Oval slot,Corner,C,-,
1,The storage locations in the interal storage of a CPU are called,contents,addresses,locations,mask,B,-,
1,Which is used to provide the sight information to the right person at the right time for proper decision making?,DBMS,MIS,ISO,PSO,B,-,
2,Most disk drives have a single read/ write head for each disk surface. What is the advantage of suing multiple heads on each movable access arm?,Reduced seek time,Less latency time,Reduced search time,Less disk speed,A,-,
1,One of the main feature that distinguish microprocessors from microcomputers is,words   are   usually   larger   in microprocessors,words        are        shorter        in microprocessors,microprocessor does not contain I/O devices,exactly the same as the machine cycle time,C,-,
3,Which type of display is the latest to be used for portable computer?,LED display,LCD display,Plasma display,Electroluminescent display,D,-,
2,Which of the following is not true of future computers?,increased   use   of   CAD/CAM techniques,faster turnaround time,developments      in      artificial intelligence systems,All of the above are true,D,-,
3,The EAM device that does not use a control panel is the:,collator,reproducer,interpreter,sorter,D,-,
1,"Whenever a peripheral is being controlled by the CPU, it is said to be online. If additionally, the computer files are updated as soon as any change takes place, the system is called",quick processing system,batch processing system,real time system,remote processing system,C,-,
3,The following is true about 2-out of-5 code:,it is weighted code,it is unweighted code,it has odd parity,All of the above,B,-,
