Question,Answer
Write a few words on highest peak of India,"The Kangchenjunga is the highest mountain peak in India and ranked 3rd highest summit in the world. It is located at the border of India and Nepal in the great Himalayas range,Sikkim."
What is the national dance of India?,"There are eight dance styles classified as national dance of India :- Bharatanatyam, Kathak, Kathakali, Kuchipudi, Odissi, Manipuri,Mohiniyattam and Sattriya."
The new Indian 200 Rupee note has image of which monument. Write a few words about the monument.,"The 200 rupee note has the image of Sanchi Stupa. It is a Buddhist monument  reflecting gem of Buddhist art and architecture situated in Madhya Pradesh, India."
When is Hindu Divas celebrated and Why?,Hindu Divas is celebrated on 24th September to celebrate the popularity of Hindi as an official language of India.
What does ISRO stand for and who is its chairperson?,ISRO stands for Indian Space Research Organisation. Kailasavadivoo Sivan is an Indian space scientist and the chairperson of the Indian Space Research Organization.
What is democracy? What are three pillars of democracy?,"Democracy is a system of government where the citizens exercise power by voting. The three pillars of democracy are :- Of the people, By the people and For the people."
Give your views on Clean Ganga Project.,"The Clean Ganga Project was started in 2014 by PM Modi. The aim of this project is to clean the ghats, rid the river of biological contaminants and improve rural sanitation and afforestation. Germany has pledged to give Rs 990 crores to India for this mission."
What is Aadhaar?,"Aadhaar is a 12-digit unique identity number that can be obtained by residents of India, based on their biometric and demographic data. The data is collected by the Unique Identification Authority of India (UIDAI), a statutory authority established in January 2009 by the government of India."
When was India's 100th airport launched and Where?,India's 100th airport was launched on 24th October 2018 in Sikkim. It was the only state in India which did not has airport.
What is Human development index? Which country is rannked 1st in the survey conducted by HDI?,"The Human Development Index is a statistic composite index of life expectancy, education, and per capita income indicators, which are used to rank countries into four tiers of human development. According to HDI 2018 Norway is ranked first."
"In December 2018, the vidhan sabha elections were held in which states?","In december 2018 the Vidhan Sabha elections were held in 5 states namely Madhya Pradesh, Telangana, Chattisgarh, Rajasthan and Manipur."
What is gift tax ?,"If the value of gifts received, is more than Rs. 50,000 a year, then such amount is taxed as income in the hands of the receiver. These gifts may be in any form, cash, jewellery,movable and immovable property, shares etc. Such a tax is called as gift tax. "
What is AM and PM ? What do they stand for ?,AM stands for Ante Meridiam which means before midday and PM is Post Meridiam means after midday and each period comprises of 12 hours in number.
what do you mean by global warming ? ,"Global Warming is a gradual increase in the overall temperature of the earth's atmosphere due to the greenhouse effect caused by increased levels of carbon dioxide, CFCs, and other pollutants."
