Question,Answer
A zone file is referenced by what type of server?,A zone file is stored on a name server and provides information about one or more domain names. Each zone file contains a list of DNS records with mappings between domain names and IP addresses.
What do you mean by input device?,"An input device is a hardware or peripheral device used to send data to a computer. An input device allows users to communicate and feed instructions and data to computers for processing, display, storage etc. Examples- mouse, keyboard,scanners."
What action does cropping an image perform?,"Cropping means removing part of the image. This may involve cutting some of the image from the left, right, top, bottom, or any combination thereof. It reduces the image size."
What is VSDL?,"CSDL Stands for Very high bit rate Digital Subscriber Line. It is a DSL standard that provides high speed Internet access. VDSL was developed to support the high bandwidth requirements of HDTV, media streaming, and VoIP connections."
What is a co-processor?,A coprocessor is a special set of circuit s in a microprocessor chip that is designed to manipulate numbers or perform some other specialized function more quickly than the basic microprocessor circuits could perform the same task.
What does Operating System (OS) mean?,"An operating system is a program that acts as an interface between the software and the computer hardware. Example- Windows, Linux, MAC-OS."
What is Leet?,"Leet is a method of typing words using alternate characters. Letters are replaced with numbers or symbols that closely resemble them. For example, the letter ""a"" might be replaced with the @ symbol and the letter ""B"" might be replaced with the number 8. "
The macOS desktop interface is also called what?,"The Finder is the desktop interface of Mac-OS computers. It allows users to move, copy, delete, and open files, navigate through folders, and move windows around the desktop. The Finder loads automatically when the computer starts up and is always running in the background."
What is a conroller card?,The controller card or controller is a piece of hardware that acts as the interface between the motherboard and the other components of the computer.
What is WEP?,"WEP stands for Wired Equivalent Privacy. It is a security protocol for Wi-Fi networks. The goal of WEP is to make wireless networks as secure as wired networks, such as those connected by Ethernet cables."
"What does the small ""i"" in iSCSI stand for?","""i"" in iSCSI stands for internet. iSCSI is an extension of the standard SCSI storage interface that allows SCSI commands to be sent over an IP based network."
What are CSV files?,A comma-separated values (CSV) file is a delimited text file that uses a comma to separate values. A CSV file stores tabular data (numbers and text) in plain text. Each line of the file is a data record. Each record consists of one or more fields separated by commas. 
What is Lua?,Lua is a programming language commonly used to extend or add functionality to software applications. It uses syntax similar to C allowing it to work with a number of other languages. it is commonly used as an extension language for web applications and video games.
What is a bytecode?,Bytecode is program code that has been compiled from source code into low-level code designed for a software interpreter.
What do you mean by CAD?,A CAD is Computer-Aided Design. It involves use of computers to create 2D and 3D designs.2D CAD is commonly used to design vector-based layouts and 3D CAD is commonly used in developing video games and animated films.
What is resistance?,Resistance is a measure of the opposition to current flow in an electrical circuit. It is measured in ohms.
What is a fluid layout in web designing?,A fluid layout is a type of webpage design in which layout of the page resizes as the window size is changed. This is accomplished by defining areas of the page using percentages instead of fixed pixel widths.
